FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_101_1009_6_2,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.24535,2023,20/06/2023,1.1
1_101_1009_6_3,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.000168,2023,20/06/2023,1.1
1_101_1009_6_4,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of N2O per unit,0.002063087,2023,20/06/2023,1.1
1_101_1010_15_1,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e,3165.041812,2023,20/06/2023,1.1
1_101_1010_15_2,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of CO2 per unit,3149.67,2023,20/06/2023,1.1
1_101_1010_15_3,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of CH4 per unit,8.4,2023,20/06/2023,1.1
1_101_1010_15_4,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of N2O per unit,6.971812081,2023,20/06/2023,1.1
1_101_1010_8_1,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e,2.540155856,2023,20/06/2023,1.1
1_101_1010_8_2,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of CO2 per unit,2.52782,2023,20/06/2023,1.1
1_101_1010_8_3,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of CH4 per unit,0.0067424,2023,20/06/2023,1.1
1_101_1010_8_4,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of N2O per unit,0.005593456,2023,20/06/2023,1.1
1_101_1010_7_1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e,0.259753528,2023,20/06/2023,1.1
1_101_1010_7_2,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of CO2 per unit,0.25849,2023,20/06/2023,1.1
1_101_1010_7_3,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0006944,2023,20/06/2023,1.1
1_101_1010_7_4,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of N2O per unit,0.000569128,2023,20/06/2023,1.1
1_101_1010_6_1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e,0.24677325,2023,20/06/2023,1.1
