FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
25_301_3046_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,km,kg CO2e of CO2 per unit,0.14012,2023,20/06/2023,1.1
25_301_3046_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,km,kg CO2e of CH4 per unit,0.0003584,2023,20/06/2023,1.1
25_301_3046_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,km,kg CO2e of N2O per unit,0.000320134,2023,20/06/2023,1.1
25_301_3047_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,km,kg CO2e,0.101498858,2023,20/06/2023,1.1
25_301_3047_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,km,kg CO2e of CO2 per unit,0.10049,2023,20/06/2023,1.1
25_301_3047_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,km,kg CO2e of CH4 per unit,0.0002352,2023,20/06/2023,1.1
25_301_3047_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,km,kg CO2e of N2O per unit,0.000773658,2023,20/06/2023,1.1
25_301_3048_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,km,kg CO2e,,2023,20/06/2023,1.1
25_301_3048_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,km,kg CO2e of CO2 per unit,,2023,20/06/2023,1.1
25_301_3048_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,km,kg CO2e of CH4 per unit,,2023,20/06/2023,1.1
25_301_3048_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,km,kg CO2e of N2O per unit,,2023,20/06/2023,1.1
25_301_3049_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,LPG,km,kg CO2e,,2023,20/06/2023,1.1
25_301_3049_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,LPG,km,kg CO2e of CO2 per unit,,2023,20/06/2023,1.1
25_301_3049_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,LPG,km,kg CO2e of CH4 per unit,,2023,20/06/2023,1.1
25_301_3049_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,LPG,km,kg CO2e of N2O per unit,,2023,20/06/2023,1.1
25_301_3050_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Unknown,km,kg CO2e,0.140368858,2023,20/06/2023,1.1
25_301_3050_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Unknown,km,kg CO2e of CO2 per unit,0.13936,2023,20/06/2023,1.1
25_301_3050_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Unknown,km,kg CO2e of CH4 per unit,0.0002352,2023,20/06/2023,1.1
25_301_3050_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Unknown,km,kg CO2e of N2O per unit,0.000773658,2023,20/06/2023,1.1
25_301_3051_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.054022993,2023,20/06/2023,1.1
25_301_3051_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.05355,2023,20/06/2023,1.1
25_301_3051_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.000224,2023,20/06/2023,1.1
25_301_3051_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.000248993,2023,20/06/2023,1.1
25_301_3052_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e,0.048228286,2023,20/06/2023,1.1
25_301_3052_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.04778,2023,20/06/2023,1.1
25_301_3052_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.0001904,2023,20/06/2023,1.1
25_301_3052_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.000257886,2023,20/06/2023,1.1
25_301_3045_9_1,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,miles,kg CO2e,0.224195663,2023,20/06/2023,1.1
25_301_3045_9_2,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,miles,kg CO2e of CO2 per unit,0.22149,2023,20/06/2023,1.1
25_301_3045_9_3,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,miles,kg CO2e of CH4 per unit,0.0000112,2023,20/06/2023,1.1
25_301_3045_9_4,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,miles,kg CO2e of N2O per unit,0.002694463,2023,20/06/2023,1.1
25_301_3046_9_1,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,miles,kg CO2e,0.226596972,2023,20/06/2023,1.1
25_301_3046_9_2,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,miles,kg CO2e of CO2 per unit,0.22551,2023,20/06/2023,1.1
25_301_3046_9_3,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,miles,kg CO2e of CH4 per unit,0.0005712,2023,20/06/2023,1.1
25_301_3046_9_4,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,miles,kg CO2e of N2O per unit,0.000515772,2023,20/06/2023,1.1
25_301_3047_9_1,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,miles,kg CO2e,0.163355766,2023,20/06/2023,1.1
25_301_3047_9_2,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,miles,kg CO2e of CO2 per unit,0.16173,2023,20/06/2023,1.1
25_301_3047_9_3,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,miles,kg CO2e of CH4 per unit,0.0003808,2023,20/06/2023,1.1
25_301_3047_9_4,Scope 3,Business travel- land,Cars (by size),Small car,,Hybrid,miles,kg CO2e of N2O per unit,0.001244966,2023,20/06/2023,1.1
25_301_3048_9_1,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,miles,kg CO2e,,2023,20/06/2023,1.1
25_301_3048_9_2,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,miles,kg CO2e of CO2 per unit,,2023,20/06/2023,1.1
25_301_3048_9_3,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,miles,kg CO2e of CH4 per unit,,2023,20/06/2023,1.1
25_301_3048_9_4,Scope 3,Business travel- land,Cars (by size),Small car,,CNG,miles,kg CO2e of N2O per unit,,2023,20/06/2023,1.1
25_301_3049_9_1,Scope 3,Business travel- land,Cars (by size),Small car,,LPG,miles,kg CO2e,,2023,20/06/2023,1.1
